name,price,image,category
Very Vanilla - 3.8 oz (25 Hour),1800,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/veryvanilla.png?v=1727628422,Home
Very Vanilla - 9.3 oz (70 Hour),3300,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/WhatsApp_Image_2024-07-20_at_22.12.59_8ef1ca59-182a-491a-ad63-90577cec1b1d.jpg?v=1723055260,Home
Isola Blu - 30ML,3500,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/isolablu.png?v=1716574587,Perfume
Imaginary Tygar - 30ML,3500,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/imaginary_tygar_de421a83-39ce-4e73-b9bd-7fbcc7dd5289.png?v=1723055266,Perfume
Black Orchid - 30ML,2500,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/black_orchid_b7531353-9d76-49cf-b90f-10df58e30998.png?v=1723055269,Perfume
Eden Juicy Apple - 30ML,2500,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/edenjuicy.png?v=1716573122,Perfume
Eden Juicy Apple - 120ML,4000,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/edenjuicy.png?v=1716573122,Perfume
Pacific Chill - 30ml,3500,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/pacificchill.png?v=1716572969,Perfume
Midnight Rose - 30ml,1800,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/midnightrose.png?v=1716572817,Perfume
Wild Blue Bell - 30ml,1800,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/wild_bluebell_e25de1e8-f6ad-4ad5-b4b6-5072b6a4e7c5.png?v=1723055279,Perfume
Myslf - 30ML,2800,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/myslf.png?v=1716057770,Perfume
Yum Pistachio Gelato | 33 - 30ml,2500,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/yumpistachio.png?v=1715242104,Perfume
Lovefest Burning Cherry | 48,2500,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/lovefest.png?v=1715242007,Perfume
There's No Place Like Home - Linen Mist,990,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/noplacelikehome.png?v=1727631824,Mists
Lets Get Cozy - Linen Mist,990,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/letsgetcozy.png?v=1727631837,Mists
Home Sweet Home - Linen Mist,990,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/homesweethome.png?v=1727631845,Mists
Rendition of Montabaco Intensivo - 30ML,3000,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/montobaco.png?v=1727625872,Perfume
Rendition of Montabaco Intensivo - 50ML,4500,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/montabacointensivo.png?v=1710688973,Perfume
Rendition of Blue Moon Ginger Dash - 30ML,3000,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/bluemoon.png?v=1710688820,Perfume
Rendition of Blue Moon Ginger Dash - 50ML,4500,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/bluemoon.png?v=1710688821,Perfume
Rendition of Hind Al-Oud Silver Musk - 30ML,3500,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/silvermusk.png?v=1710611722,Perfume
Hind Al-Oud Kohl - 30ML,3500,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/kohl_3892f1e5-01b9-488b-837f-8d1e53807430.png?v=1710611641,Perfume
Hind Al-Oud Patchouli - 30ML,3500,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/patchouli.png?v=1710611595,Perfume
Hind Al-Oud Lilac - 30ML,3750,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/lilac.png?v=1710611516,Perfume
Magnate | Rendition of Office For Men - 30ML,1800,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/magnate_d1775726-4349-4144-b35b-df5556bd8fe2.png?v=1727635662,Perfume
Dusk | Rendition of 1 Million - 30ML,1500,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/dusk.png?v=1708713641,Perfume
Luminous | Rendition of Elysium - 30ML,1800,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/luminous.png?v=1727635694,Perfume
Diamond Dice - 30ML,3000,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/diamonddice.png?v=1707372509,Perfume
Maximus III - 30ML,3000,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/maximus3.png?v=1707078967,Perfume
Maximus II - 30ML,3500,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/maximus2.png?v=1707078906,Perfume
Oud Abu Sultan - 30ML,3500,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/oudabusultan.png?v=1707078803,Perfume
Hind Al-Oud Habbahan - 30ML,3500,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/habbahan.png?v=1707078626,Perfume
Dynasty - 30ML,3200,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/dynasty.png?v=1707078330,Perfume
Baccarat Rouge 540 EDP - 30ML,3000,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/br540-edp.png?v=1707078248,Perfume
Aqua Universalis Forte - 30ML,3000,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/aquauniversal.png?v=1704538725,Perfume
Khaneen Al-Fekr - 30ML,3750,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/kheneenal-fekr.png?v=1702324986,Perfume
Oud Zayed - 30ML,3750,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/oudzayed.png?v=1702324838,Perfume
Emarati Oud - 30ML,3500,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/emiratioud_93bcb9b5-c45d-4d76-8164-c766b3e19f14.png?v=1702324617,Perfume
Emarati Musk - 30ML,3500,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/emiratimusk_6605d1e9-caad-4dff-95c9-4654c7dc6804.png?v=1702324502,Perfume
Musk Al-Shiokh - 30ML,3500,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/muskashiokh.png?v=1702324366,Perfume
Masa'aey - 30ML,3500,https://cdn.shopify.com/s/files/1/0550/3497/0249/files/masaaey.png?v=1701524889,Perfume
